Students, Alumnos, module, Hiberus_Lopez
Firstname, Nombre, module, Hiberus_Lopez
Lastname, Apellidos, module, Hiberus_Lopez
Mark, Nota, module, Hiberus_Lopez
Hide Marks, Ocultar Notas, module, Hiberus_Lopez
Show Marks, Mostrar Notas, module, Hiberus_Lopez
Table Style, Modo tabla, module, Hiberus_Lopez
List Style, Modo lista, module, Hiberus_Lopez
Highest note, Notá más alta, module, Hiberus_Lopez
Has the highest grade with a, tiene la nota más alta con un, module, Hiberus_Lopez
He is on page, Está en la página, Hiberus_Lopez
Highest mark, Máxima nota, Hiberus_Lopez
Average Students:, Media de notas de los estudiantes:, module, Hiberus_Lopez
View all student grades, Permite ver todas las notas de los alumnos, module, Hiberus_Lopez
Add New Exam, Nuevo Examen, Hiberus_Lopez
